Ticker,Acurácia Dir %,Acertos,Erros,Dias Teste,Dias Treino,Classe,Coef. MIDAS,Retorno 1 Ano %,Sharpe Ratio,R$10k → Hoje,Lucro/Perda R$,Rentabilidade %,Recomendação,potencial_2026,retorno_proj_%,pct_dias_alta_%,preco_atual,preco_proj_dez26
DIRR3.SA,50.6,126,123,249,798,🔴 Fraco,54.1,14.22,0.548,11421.66,1421.66,14.22,⚖️  NEUTRO,85.2,705.08,100.0,13.37,107.6391
TAEE11.SA,47.39,118,131,249,798,🔴 Fraco,54.1,20.32,0.994,12032.1,2032.1,20.32,⚖️  NEUTRO,60.5,4.78,47.7,39.22,41.094
ITUB4.SA,46.99,117,132,249,798,🔴 Fraco,54.0,20.2,0.927,12020.48,2020.48,20.2,⚖️  NEUTRO,84.0,74.02,99.6,40.0,69.6094
LEVE3.SA,50.2,125,124,249,798,🔴 Fraco,53.8,13.17,0.648,11317.17,1317.17,13.17,⚖️  NEUTRO,36.2,-4.45,34.6,33.39,31.9045
CMIG4.SA,46.99,117,132,249,798,🔴 Fraco,53.7,13.92,0.691,11392.27,1392.27,13.92,⚖️  NEUTRO,14.8,-90.78,5.0,11.05,1.0187
LAVV3.SA,50.6,126,123,249,798,🔴 Fraco,53.6,18.22,0.696,11821.55,1821.55,18.22,⚖️  NEUTRO,82.9,110.32,85.0,11.7,24.6069
INTB3.SA,55.82,139,110,249,798,🟡 Bom,53.3,3.9,0.286,10390.39,390.39,3.9,⚖️  NEUTRO,20.3,-44.43,10.8,14.01,7.7851
IRBR3.SA,51.0,127,122,249,798,🔴 Fraco,53.3,8.14,0.412,10813.75,813.75,8.14,⚖️  NEUTRO,15.8,-52.19,3.1,52.25,24.9806
CPFE3.SA,49.8,124,125,249,798,🔴 Fraco,53.1,14.73,0.694,11473.25,1473.25,14.73,⚖️  NEUTRO,84.9,573.77,100.0,43.03,289.9241
BBSE3.SA,51.41,128,121,249,798,🔴 Fraco,53.1,4.79,0.364,10478.69,478.69,4.79,⚖️  NEUTRO,85.4,106.97,100.0,34.58,71.5699
ALUP11.SA,49.4,123,126,249,798,🔴 Fraco,53.1,10.56,0.612,11056.19,1056.19,10.56,⚖️  NEUTRO,18.9,-40.46,4.6,32.81,19.5366
HBOR3.SA,53.01,132,117,249,798,🟡 Bom,53.1,-3.12,0.301,9688.16,-311.84,-3.12,⚖️  NEUTRO,85.9,6077.58,100.0,2.45,151.3506
ECOR3.SA,48.19,120,129,249,798,🔴 Fraco,52.8,23.26,0.723,12325.79,2325.79,23.26,⚖️  NEUTRO,14.9,-75.86,3.1,7.66,1.8488
WEGE3.SA,50.6,126,123,249,798,🔴 Fraco,52.1,8.26,0.424,10826.39,826.39,8.26,⚖️  NEUTRO,81.1,67.64,72.7,43.72,73.2923
IGTI11.SA,46.18,115,134,249,679,🔴 Fraco,52.0,16.97,0.735,11697.32,1697.32,16.97,⚖️  NEUTRO,13.9,-89.76,0.0,26.19,2.6823
SEER3.SA,49.4,123,126,249,798,🔴 Fraco,52.0,18.0,0.584,11800.24,1800.24,18.0,⚖️  NEUTRO,84.8,1061.81,100.0,11.52,133.8401
EMBJ3.SA,47.79,119,130,249,798,🔴 Fraco,52.0,13.33,0.517,11332.52,1332.52,13.33,⚖️  NEUTRO,65.2,12.49,59.6,73.6,82.7932
MTRE3.SA,52.21,130,119,249,798,🟡 Bom,51.6,1.4,0.201,10140.03,140.03,1.4,⚖️  NEUTRO,85.7,243.32,100.0,3.66,12.5654
BLAU3.SA,50.6,126,123,249,798,🔴 Fraco,51.6,9.11,0.419,10910.71,910.71,9.11,⚖️  NEUTRO,85.2,593.95,100.0,10.99,76.2647
GRND3.SA,55.42,138,111,249,798,🟡 Bom,51.3,1.82,0.205,10181.98,181.98,1.82,⚖️  NEUTRO,86.0,129.48,96.2,4.04,9.2711
MULT3.SA,45.38,113,136,249,798,🔴 Fraco,51.3,15.66,0.693,11565.61,1565.61,15.66,⚖️  NEUTRO,17.8,-44.34,14.6,29.92,16.6534
POMO4.SA,46.99,117,132,249,798,🔴 Fraco,51.3,8.27,0.413,10827.44,827.44,8.27,⚖️  NEUTRO,15.2,-68.18,7.3,6.18,1.9662
BRAV3.SA,48.19,120,129,249,798,🔴 Fraco,51.3,7.74,0.39,10774.28,774.28,7.74,⚖️  NEUTRO,76.6,33.58,85.8,20.24,27.0361
MRVE3.SA,49.0,122,127,249,798,🔴 Fraco,50.7,12.85,0.497,11285.44,1285.44,12.85,⚖️  NEUTRO,15.4,-70.9,5.0,5.97,1.7371
LWSA3.SA,50.6,126,123,249,798,🔴 Fraco,50.4,4.18,0.315,10418.4,418.4,4.18,⚖️  NEUTRO,65.8,14.92,52.7,3.65,4.1946
CMIN3.SA,48.19,120,129,249,798,🔴 Fraco,50.3,0.1,0.169,10010.3,10.3,0.1,⚖️  NEUTRO,84.5,161.51,100.0,4.7,12.2908
RDOR3.SA,55.42,138,111,249,798,🟡 Bom,50.0,0.8,0.177,10079.89,79.89,0.8,⚖️  NEUTRO,17.8,-67.83,7.7,34.47,11.0883
EQTL3.SA,45.78,114,135,249,798,🔴 Fraco,49.5,8.86,0.474,10885.73,885.73,8.86,⚖️  NEUTRO,83.6,89.94,98.8,38.2,72.5575
KLBN11.SA,52.61,131,118,249,798,🟡 Bom,49.4,-0.75,0.071,9925.45,-74.55,-0.75,⚖️  NEUTRO,84.0,53.34,88.1,16.67,25.5624
AGRO3.SA,51.41,128,121,249,798,🔴 Fraco,49.3,-7.11,-0.221,9289.24,-710.76,-7.11,⚖️  NEUTRO,59.6,2.96,54.6,18.8,19.3562
PSSA3.SA,53.41,133,116,249,798,🟡 Bom,49.1,-1.58,0.062,9841.81,-158.19,-1.58,⚖️  NEUTRO,18.6,-44.75,5.0,48.28,26.677
SLCE3.SA,51.0,127,122,249,798,🔴 Fraco,49.0,-0.14,0.097,9986.19,-13.81,-0.14,⚖️  NEUTRO,15.3,-90.69,0.0,15.9,1.4802
CMIG3.SA,47.39,118,131,249,798,🔴 Fraco,48.9,1.55,0.188,10155.08,155.08,1.55,⚖️  NEUTRO,84.2,94.27,99.6,16.07,31.219
COGN3.SA,54.62,136,113,249,798,🟡 Bom,48.5,-2.43,0.164,9756.63,-243.37,-2.43,⚖️  NEUTRO,20.4,-51.3,26.5,2.53,1.2321
RENT3.SA,48.59,121,128,249,798,🔴 Fraco,48.2,4.68,0.312,10467.67,467.67,4.68,⚖️  NEUTRO,22.1,-39.51,25.8,42.82,25.9024
GGPS3.SA,55.02,137,112,249,798,🟡 Bom,48.0,-6.68,-0.079,9332.37,-667.63,-6.68,⚖️  NEUTRO,26.2,-37.95,36.5,12.4,7.6939
POSI3.SA,53.01,132,117,249,798,🟡 Bom,47.7,-8.46,-0.069,9154.4,-845.6,-8.46,⚖️  NEUTRO,58.1,3.39,46.5,4.14,4.2804
SBFG3.SA,49.4,123,126,249,798,🔴 Fraco,47.7,-3.75,0.12,9624.85,-375.15,-3.75,⚖️  NEUTRO,83.1,91.8,88.5,11.3,21.6735
KLBN4.SA,44.58,111,138,249,798,🔴 Fraco,47.5,-0.49,0.084,9951.48,-48.52,-0.49,⚖️  NEUTRO,41.9,-2.53,40.0,3.35,3.2654
CSNA3.SA,50.6,126,123,249,798,🔴 Fraco,47.4,-17.58,-0.154,8242.42,-1757.58,-17.58,⚖️  NEUTRO,15.3,-88.35,0.8,6.8,0.7924
HYPE3.SA,50.6,126,123,249,798,🔴 Fraco,47.3,-7.52,-0.112,9247.92,-752.08,-7.52,⚖️  NEUTRO,82.8,48.57,87.7,22.41,33.2944
FRAS3.SA,53.41,133,116,249,798,🟡 Bom,47.3,-14.08,-0.491,8591.73,-1408.27,-14.08,⚖️  NEUTRO,21.2,-38.36,7.3,22.0,13.5603
VULC3.SA,47.79,119,130,249,798,🔴 Fraco,46.8,-4.9,-0.054,9510.35,-489.65,-4.9,⚖️  NEUTRO,14.9,-77.38,3.8,15.34,3.4698
SMTO3.SA,48.59,121,128,249,798,🔴 Fraco,46.8,-16.85,-0.253,8315.05,-1684.95,-16.85,⚖️  NEUTRO,34.8,-10.48,42.3,17.16,15.361
LREN3.SA,51.41,128,121,249,798,🔴 Fraco,46.7,-12.71,-0.185,8729.17,-1270.83,-12.71,⚖️  NEUTRO,15.8,-62.95,2.7,15.0,5.5578
CYRE3.SA,46.18,115,134,249,798,🔴 Fraco,46.6,-2.27,0.163,9772.62,-227.38,-2.27,⚖️  NEUTRO,82.3,817.67,89.6,22.5,206.4768
HBSA3.SA,49.8,124,125,249,798,🔴 Fraco,46.5,0.31,0.192,10031.45,31.45,0.31,⚖️  NEUTRO,84.7,197.47,98.5,3.19,9.4893
ASAI3.SA,51.41,128,121,249,798,🔴 Fraco,46.3,-18.89,-0.224,8110.83,-1889.17,-18.89,⚖️  NEUTRO,28.7,-29.24,40.4,8.98,6.3546
DXCO3.SA,46.99,117,132,249,798,🔴 Fraco,46.3,-3.34,0.07,9666.31,-333.69,-3.34,⚖️  NEUTRO,14.7,-55.72,4.2,4.79,2.1208
RECV3.SA,53.41,133,116,249,798,🟡 Bom,46.0,-9.29,-0.182,9070.83,-929.17,-9.29,⚖️  NEUTRO,69.3,18.16,63.1,11.58,13.6827
BAZA3.SA,48.59,121,128,249,798,🔴 Fraco,45.8,-8.95,-0.213,9105.26,-894.74,-8.95,⚖️  NEUTRO,47.0,-0.53,38.5,69.2,68.8343
